SKU,Product-Header,Product-By,Product-Information,Image-Url,Price,Shipping Cost,Price + Shipping/Import,Link,Color,Merchant Info,Total Reviews,Average Ratings,Short Description,Long Description,Dimensions,Item Weight,Shipping Weight,Model Number
B07FH4PDHJ,"Samsung Galaxy J8 (Black, 64GB) with Offers",Samsung and 3 more promotions,"OS : Android
RAM : 4 GB
Item Weight : 191 g
Product Dimensions : 15.9 x 0.8 x 7.6 cm
Batteries: : 1 Lithium ion batteries required. (included)
Item model number : Galaxy J8
Wireless communication technologies : Bluetooth, WiFi Hotspot
Connectivity technologies : 2G, GSM, 3G, WCDMA, 4G LTE, FDD, TDD
Special features : Dual SIM, GPS, Music Player, Video Player, Accelerometer, Fingerprint sensor, Proximity sensor
Other camera features : 16MP
Form factor : Touchscreen Phone
Weight : 191 Grams
Colour : Black
Whats in the box : Handset (Non-removable Battery Included), Earphones, Travel Adapter, USB Cable and User Manual
 : 
ASIN : B07FH4PDHJ
Customer Reviews : 
Best Sellers Rank : #145 in Electronics (See top 100)         #44    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 25 June 2018
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,18990,0,18990,https://www.amazon.in/dp/B07FH4PDHJ,Black,"Sold by Appario Retail Private Ltd (4.7 out of 5 | 72,791 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.",301 customer reviews,4.0 out of 5 stars,"16+5MP primary camera with auto focus and 4x digital zoom and 16MP front facing camera with F1.9 LED flash
							
						
					
						 
							15.24 centimeters (6-inch) Super AMOLED capacitive touchscreen with 1480 x 720 pixels resolution
							
						
					
						 
							Android V8.0 Oreo operating system with 1.8GHz Qualcomm Snapdragon SDM450 octa core processor, 4GB RAM, 64GB internal memory expandable up to 256GB and dual SIM (nano+nano) dual-standby (4G+4G)
							
						
					
						 
							3500mAH lithium-ion battery
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details",,15.9 x 0.8 x 7.6 cm,191 g,,Galaxy J8
B076HSCM1S,Sony Xperia R1 Dual (Silver),Sony and 4 more promotions,"OS : Android 8.0 Oreo
RAM : 2 GB
Item Weight : 150 g
Product Dimensions : 14.6 x 0.8 x 7.2 cm
Batteries: : 1 Lithium ion batteries required. (included)
Item model number : Xperia R1 Dual
Wireless communication technologies : Bluetooth, WiFi Hotspot
Connectivity technologies : 4G LTE, GPRS, WiFi
Special features : Dual SIM, GPS, Music Player, Video Player, FM Radio, Proximity sensor, eCompass, Accelerometer, Light sensor, Hall sensor, Gyro sensor, E-mail
Other camera features : 8MP
Form factor : Touchscreen Phone
Weight : 150 Grams
Colour : Silver
Battery Power Rating : 2620
Whats in the box : Handset, Quick Charger, Type-C Data Cable, Startup Guide, Screen Guard and Stereo Headphones
 : 
ASIN : B076HSCM1S
Customer Reviews : 
Best Sellers Rank : #4,505 in Electronics (See top 100)         #353    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 17 October 2017
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,9489,0,9489,https://www.amazon.in/dp/B076HSCM1S,Silver,"Sold by Appario Retail Private Ltd (4.7 out of 5 | 72,801 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.",365 customer reviews,3.1 out of 5 stars,"13MP primary camera and 8MP front facing camera
							
						
					
						 
							13.208 centimeters (5.2-inch) capacitive touchscreen with 720 x 1280 pixels resolution
							
						
					
						 
							Android 8.0 Oreo operating system with 1.4GHz Qualcomm Snapdragon 430 octa core processor, 2GB RAM, 16GB internal memory expandable up to 256GB and dual SIM (nano+nano) dual-standby (4G+4G)
							
						
					
						 
							2620mAH lithium-ion battery
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
							
						
					
						 
							For any customer queries issue,please reach us at
Toll free no. 1800 103 7799
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Colour:Silver
            
          
            
            
            
                 | 
            
             Size name:16GB
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			Xperia R1 is a perfect fit for your hand and features a 5.2-inch HD display, an octa-core processor with 4G VoLte. The R1 is made for India, with sturdy and premium design, crisp and powerful sound, smooth performance. Capture amazing images with strong 13MP Exmor R sensor camera, with 8MP wide angle front camera.",14.6 x 0.8 x 7.2 cm,150 g,,Xperia R1 Dual
B07D3HRF4K,"Samsung Galaxy A6 Plus (Blue, 64GB) with Offers",SamsungFREE Delivery  and 2 more promotions,"OS : Android
RAM : 4 GB
Item Weight : 191 g
Product Dimensions : 16 x 0.8 x 7.6 cm
Batteries: : 1 Lithium ion batteries required. (included)
Item model number : Galaxy A6 Plus
Wireless communication technologies : Bluetooth, WiFi Hotspot
Connectivity technologies : GSM, 3G, WCDMA, 4G LTE, FDD
Special features : Dual SIM, GPS, Music Player, Video Player, Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, RGB Light Sensor, Proximity Sensor, E-mail
Form factor : Touchscreen Phone
Weight : 191 Grams
Colour : Blue
Battery Power Rating : 3500
Whats in the box : Handset, Non-removable Battery, Charger, Earphone and User Manual
 : 
ASIN : B07D3HRF4K
Customer Reviews : 
Best Sellers Rank : #500 in Electronics (See top 100)         #90    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 21 May 2018
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,21718,0,21718,https://www.amazon.in/dp/B07D3HRF4K,Blue,Sold by Worldwide_Store (4.5 out of 5 stars | 244 ratings) and Delivered by Amazon.,291 customer reviews,4.1 out of 5 stars,"16MP+5MP primary dual camera and 24MP front facing camera
							
						
					
						 
							15.24 centimeters (6-inch) super AMOLED capacitive touchscreen with 1080 x 2220 pixels resolution
							
						
					
						 
							Android v8.0 Oreo operating system with 1.8GHz Qualcomm Snapdragon 450 octa core processor, 4GB RAM, 64GB internal memory expandable up to 256GB and dual SIM (nano+nano) dual-standby (4G+4G)
							
						
					
						 
							3500mAH lithium-ion battery
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Colour:Blue
            
          
            
            
            
                 | 
            
             Style name:With Offer
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			Samsung Galaxy A6 Plus (Blue, 64GB) with Offers",16 x 0.8 x 7.6 cm,191 g,,Galaxy A6 Plus
B07DG1CTKZ,,,,https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,159,,,https://www.amazon.in/dp/B07DG1CTKZ,,,,,,,,,,
B0784D7NFX,"RealMe 1 (Diamond Black, 4+64 GB)",Realme and 5 more promotions,"OS : Android
RAM : 4 GB
Item Weight : 154 g
Product Dimensions : 15.7 x 0.8 x 7.5 cm
Batteries: : 1 Lithium ion batteries required. (included)
Item model number : CPH1859
Wireless communication technologies : Bluetooth, WiFi Hotspot
Connectivity technologies : GSM, (850/900/1800/1900 MHz), WCDMA, (850/900/2100 MHz), FDD, TD
Special features : Dual SIM, GPS, Music Player, Video Player, FM Radio, Magnetic induction sensor, Light sensor, Proximity sensor, G-sensor, Acceleration sensor, E-mail
Other camera features : 8MP
Form factor : Touchscreen Phone
Weight : 154 Grams
Colour : Diamond Black
Battery Power Rating : 3410
Phone Talk Time : 30 Hours
Phone Standby Time (with data) : 380 Hours
Whats in the box : Handset, Adapter, Micro USB Cable, Booklet with Warranty Card, Quick Guide, SIM Card Tool, Screen Protect Film and Case
 : 
ASIN : B0784D7NFX
Customer Reviews : 
Best Sellers Rank : #8 in Electronics (See top 100)         #3    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 17 June 2018
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,10990,0,10990,https://www.amazon.in/dp/B0784D7NFX,Diamond Black,"Sold by Darshita Electronics (4.6 out of 5 | 33,944 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.","13,765 customer reviews",4.4 out of 5 stars,"13MP primary camera with beautify, filter, HDR, panorama, ultra HD and 8MP front facing camera
							
						
					
						 
							15.2 centimeters (6-inch) 1080p FHD capacitive touchscreen with 2160 x 1080 pixels resolution and 403 ppi pixel density
							
						
					
						 
							Android v8.1 Oreo operating system with 2GHz MTK Helio P60 AI octa core processor with 8-cores CPU, 4GB RAM, 64GB internal memory expandable up to 256GB and dual SIM (nano+nano) dual-standby (4G+4G)
							
						
					
						 
							3410mAH lithium-ion battery providing talk-time of 30 hours and standby time of 380 hours
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Colour:Diamond Black
            
          
            
            
            
                 | 
            
             Style name:4+64 GB
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			The Realme 1 comes with stunning unique designs - Diamond Black and Solar Red - packing a beautiful 6-inches FHD+ 18:9 screen and a powerful AI enabled Helio P60 processor.",15.7 x 0.8 x 7.5 cm,154 g,,CPH1859
B077PWBC7J,"Redmi 5 (Black, 32GB)",Mi and 4 more promotions,"OS : Android
RAM : 3 GB
Item Weight : 159 g
Product Dimensions : 15.2 x 0.8 x 7.3 cm
Batteries: : 1 A batteries required. (included)
Item model number : Redmi 5
Wireless communication technologies : Bluetooth;WiFi Hotspot
Connectivity technologies : Bluetooth v4.2 wireless technology; 802.11 b/g/n wifi; GPS, GLONASS, BeiDou; USB 2.0 OTG; IR blaster
Special features : Dual SIM;GPS;Music Player;Video Player;FM Radio;Gyroscope;Infrared;Proximity sensor;Accelerometer;Ambient light sensor;eCompass;E-mail
Other camera features : 5
Form factor : Touchscreen Phone
Weight : 159 Grams
Colour : Black
Battery Power Rating : 3300
Whats in the box : Handset, Adapter, USB cable, Warranty Card, User guide and SIM insertion tool
 : 
ASIN : B077PWBC7J
Customer Reviews : 
Best Sellers Rank : #1 in Electronics (See top 100)         #1    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 6 April 2018
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,8999,0,8999,https://www.amazon.in/dp/B077PWBC7J,Black,"Sold by Darshita Electronics (4.6 out of 5 | 33,944 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.","9,638 customer reviews",4.2 out of 5 stars,"14.4 cm (5.7) 18:9 Full screen display, 2.5D curved glass
							
						
					
						 
							Qualcomm Snapdragon 450 octa-core processor with 14nm FINFET technology
							
						
					
						 
							12MP Primary camera with large 1.25μm pixels.
							
						
					
						 
							5MP front camera with LED Selfie-light
							
						
					
						 
							3300mAh large battery with up to 31 days of standby time
							
						
					
						 
							3GB RAM with 32GB storage expandable up to 128GB
							
						
					
						 
							Dual SIM support (nano + nano) dual standby (4G+4G), HYBRID SIM slot
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including battery from the date of purchase
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Colour:Black
            
          
            
            
            
                 | 
            
             Size name:32 GB
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			The 14.4cm(5.7) display with rounded corner design gives an ergonomically curved for better hand feel. Precise polished cover glass edge reduces the risk of damaging display by 30 percent. Reinforced corner design protects the display when the corner hits the ground. Speaker protection mesh avoids volume reduction caused by dust block. Note:Incase of any issue with the product, kindly contact brand at 1800 103 6286 between Service hours: 09:00-21:00.",15.2 x 0.8 x 7.3 cm,159 g,,Redmi 5
undefined,"Mi A2 (Gold, 64GB)",,"OS : Android
RAM : 4 GB
Item Weight : 168 g
Product Dimensions : 15.9 x 0.7 x 7.5 cm
Batteries: : 1 Lithium Polymer batteries required. (included)
Item model number : Mi A2
Wireless communication technologies : Bluetooth, WiFi Hotspot
Connectivity technologies : Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac wifi, GPS/AGPS, GLONASS, BeiDou, Type C USB 2.0 OTG, IR blaster
Special features : Dual SIM, GPS, Music Player, Video Player, FM Radio, Gyroscope, Infrared sensor, Proximity sensor, Accelerometer, Ambient light sensor, eCompass, E-mail
Other camera features : 20MP
Form factor : Touchscreen Phone
Weight : 168 Grams
Colour : Gold
Battery Power Rating : 3010
Whats in the box : Mi A2, Power adapter, USB cable, SIM eject tool, Type-C to Audio adapter, Warranty card, User guide, Clear soft case
 : 
ASIN : B07DJHWT5V
Customer Reviews : 
Best Sellers Rank : #5    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 9 August 2018
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,16999,0,16999,https://www.amazon.in/dp/undefined,Gold,"Sold by GreenMobiles (4.7 out of 5 | 20,293 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.",42 customer reviews,3.7 out of 5 stars,"20MP+12MP primary dual camera and 20MP front facing camera
							
						
					
						 
							15.21 centimeters (5.99-inch) capacitive touchscreen with 2160 x 1080 pixels resolution and 403 ppi pixel density
							
						
					
						 
							Android v8.1 Oreo operating system with 2.2GHz Qualcomm snapdragon 660 octa core processor, Adreno 512 GPU, 4GB RAM, 64GB internal memory and dual SIM (nano+nano) dual-standby (4G+4G)
							
						
					
						 
							3010mAH lithium-polymer battery
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",,15.9 x 0.7 x 7.5 cm,168 g,,Mi A2
B078BNQ313,"RealMe 1 (Diamond Black, 6+128 GB)",Realme and 6 more promotions,"OS : Android 8.1
RAM : 6 GB
Item Weight : 154 g
Product Dimensions : 15.7 x 0.8 x 7.5 cm
Batteries: : 1 Lithium ion batteries required. (included)
Item model number : CPH1859
Wireless communication technologies : Bluetooth;WiFi Hotspot
Connectivity technologies : GSM;(850/900/1800/1900MHz);WCDMA;(850/900/2100MHz);4G LTE;FDD;(1/3/5/8);TD;(38/40/41)
Special features : Dual SIM;GPS;Music Player;Video Player;FM Radio;Magnetic induction;Light sensor;Proximity Sensor;G-sensor;Acceleration sensor;E-mail
Other camera features : 8MP front camera, AI Shot, AR Sticker, Vivid and Bokeh effect, Panorama
Form factor : Touchscreen Phone
Weight : 154 Grams
Colour : Diamond Black
Battery Power Rating : 3410
Whats in the box : Handset, Adapter, Micro USB Cable, Important Info Booklet with Warranty Card, Quick Guide, SIM Card Tool, Screen Protect Film, Case
 : 
ASIN : B078BNQ313
Customer Reviews : 
Best Sellers Rank : #18 in Electronics (See top 100)         #8    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 1 June 2018
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,13990,0,13990,https://www.amazon.in/dp/B078BNQ313,Diamond Black,"Sold by Darshita Electronics (4.6 out of 5 | 33,944 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.","13,765 customer reviews",4.4 out of 5 stars,"15.24 centimeters (6-inch) in-cell capacitive touchscreen with 2160 x 1080 pixels resolution (403 ppi)
							
						
					
						 
							6GB RAM, 128GB internal memory expandable up to 256GB|Triple slot tray for dual SIM (nano+nano) dual-standby (4G+4G) and memory card
							
						
					
						 
							13MP back camera and 8MP front camera with AI Shot, Vivid Mode and Bokeh Mode
							
						
					
						 
							Fast facial unlock in less than 0.1 second with AI Recognition
							
						
					
						 
							Android v8.1 Oreo based ColorOS 5.0 | 2GHz Helio P60 AI processor with 8-cores CPU and 2-cores AI CPU
							
						
					
						 
							3410mAH lithium-ion AI battery providing talk-time of 30 hours and standby time of 380 hours
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Colour:Diamond Black
            
          
            
            
            
                 | 
            
             Style name:6+128 GB
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			The Realme 1 comes with stunning unique designs - Diamond Black and Solar Red - packing a beautiful 6-inches FHD+ 18:9 screen and a powerful AI enabled Helio P60 processor.",15.7 x 0.8 x 7.5 cm,154 g,,CPH1859
B071HWTHPH,"Moto G5s Plus (Lunar Grey, 64GB)",Motorola and 4 more promotions,"OS : AndroidTM 7.1, Nougat
RAM : 4 GB
Item Weight : 168 g
Product Dimensions : 15.4 x 0.8 x 7.6 cm
Batteries: : 1 A batteries required. (included)
Item model number : XT 1804
Wireless communication technologies : Bluetooth, WiFi Hotspot
Connectivity technologies : GSM, (850/900/1800/1900 MHz), UMTS, 3G, (2100/850/900 MHz), 4G LTE
Special features : Dual SIM, GPS, Music Player, Video Player, Proximity sensor, Accelerometer, Ambient light sensor, Gyroscope, Sensor hub
Other camera features : Rear Camera: Dual Camera, Pro-Mode, Panorama, Background blur, Selective B&W, Change BackgroundFront Camera: Wide Angle Selfie,Pro-Mode, Selfie-beautification & timer
Form factor : Touchscreen Phone
Weight : 168 Grams
Colour : Lunar Grey
Battery Power Rating : 3000
Whats in the box : Handset, 15W Turbo Charger, Headset and USB Cable
 : 
ASIN : B071HWTHPH
Customer Reviews : 
Best Sellers Rank : #21 in Electronics (See top 100)         #11    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 29 August 2017
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,11999,0,11999,https://www.amazon.in/dp/B071HWTHPH,Lunar Grey,"Sold by Darshita Electronics (4.6 out of 5 | 33,944 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.","30,008 customer reviews",3.7 out of 5 stars,"13+13MP dual back camera (f/2.0, dual LED flash) and 8MP front facing camera with flash
							
						
					
						 
							4GB RAM and 64GB internal memory expandable up to 128GB
							
						
					
						 
							13.97cms (5.5-inch) Full HD (1080 x 1920) capacitive touchscreen with Gorilla Glass 3 protection
							
						
					
						 
							Dual nano hybrid SIM with dual-standby (4G+4G); Metal body with fingerprint reader
							
						
					
						 
							Android v7.1 Nougat operating system with 2.0GHz Snapdragon 625 octa-core processor
							
						
					
						 
							3000mAH Lithium-ion battery with 15W Turbo Charging
							
						
					
						 
							1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including battery from the date of purchase
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Colour:Lunar Grey
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			13+13MP dual back camera (f/2.0, dual LED flash) and 8MP front facing camera with flash 4GB RAM and 64GB internal memory expandable up to 128GB 13.97cms (5.5-inch) Full HD (1080 x 1920) capacitive touchscreen with Gorilla Glass 3 protection Dual nano SIM with dual-standby (4G+4G); Metal body with fingerprint reader Android 7.1, Nougat operating system with 2.0GHz Snapdragon 625 octa-core processor 3000mAH Lithium-ion battery with 15W Turbo Charging 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including battery from the date of purchase",15.4 x 0.8 x 7.6 cm,168 g,,XT 1804
B0756Z53JN,"InFocus Vision 3 (Midnight Black, 18:9 FullVision Display)",InFocus and 2 more promotions,"OS : Android
RAM : 2 GB
Item Weight : 150 g
Product Dimensions : 15.2 x 0.9 x 7.2 cm
Batteries: : 1 A batteries required. (included)
Item model number : Vision 3
Wireless communication technologies : Bluetooth;WiFi Hotspot
Connectivity technologies : GSM;(1900/1800/900 MHz);HSPA+;3G;(2100/1900Mhz/900MHz);4G LTE;(2100Mhz/1800/850MHz/900Mhz/2600Mhz/2300Mhz);GPRS;EDGE;WiFi 802.11 b/g/n 2.4 GHz
Special features : Dual SIM;GPS;Music Player;Video Player;FM Radio;G-sensor;Light sensor;Range sensor;GPS supported;Fingerprint sensor;E-mail
Other camera features : 8
Form factor : Touchscreen Phone
Weight : 150 Grams
Colour : Midnight Black
Battery Power Rating : 4000
Whats in the box : Handset, AC Adpater, USB Cable, Warranty Card and User Manual
 : 
ASIN : B0756Z53JN
Customer Reviews : 
Best Sellers Rank : #204 in Electronics (See top 100)         #56    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 16 December 2017
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,6999,0,6999,https://www.amazon.in/dp/B0756Z53JN,Midnight Black,"Sold by #GreenMobiles (4.6 out of 5 | 3,293 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.","4,980 customer reviews",3.5 out of 5 stars,"14.47 centimetres (5.7) capacitive touchscreen, HD+ full vision 18:9 display with 1440 x 720 pixels resolution and 82.4% body to screen ratio.
							
						
					
						 
							13MP + 5MP dual primary camera and 8MP front facing camera.
							
						
					
						 
							4000mAh lithium ion battery with reverse charging.
							
						
					
						 
							Android v7.0 Nougat Smile UX operating system with 1.3GHz Quad core processor, Mali-T720 GPU, 2GB RAM, 16GB internal memory expandable up to 128GB and dual SIM (nano+nano) dual-standby (4G+4G)
							
						
					
						 
							Dualfie (Capture the two worlds with front and rear cameras), One-key split screen under full screen display.
							
						
					
						 
							1-year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase.
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Colour:Midnight Black
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			InFocus Vision 3 (Midnight Black, 18:9 FullVision Display)",15.2 x 0.9 x 7.2 cm,150 g,,Vision 3
B0756Z43QS,OnePlus 6 (Mirror Black 6GB RAM + 64GB Memory),OnePlus and 3 more promotions,"OS : Android
RAM : 6 GB
Item Weight : 177 g
Product Dimensions : 15.6 x 0.8 x 7.5 cm
Batteries: : 1 Lithium ion batteries required. (included)
Item model number : A6000
Wireless communication technologies : Bluetooth;WiFi Hotspot
Connectivity technologies : GSM;(1900/1800/850/900 MHz);CDMA;(BC0/BC1);TD-SCDMA;(34/39);UMTS;WCDMA;3G;(1/2/3/4/5/8/9/19);4G LTE;(34/38/39/40/41);FDD;(1/2/3/4/5/7/8/12/17/18/19/20/25/26/28/29/30/32/66/71);Wi-Fi 802.11 b/g/n
Special features : Dual SIM;GPS;Music Player;Video Player;;Fingerprint;Hall;Accelerometer;Gyroscope;Proximity;RGB Ambient light sensor;Electronic compass;sensor hub;E-mail
Other camera features : 16MP
Form factor : Touchscreen Phone
Weight : 177 Grams
Colour : Mirror Black
Battery Power Rating : 3300
Whats in the box : Handset, Screen Protector (pre-applied), Translucent Case, Dash Type-C Cable, Dash Power Adapter, SIM Tray Ejector, Quick Start Guide and Safety Information
 : 
ASIN : B0756Z43QS
Customer Reviews : 
Best Sellers Rank : #6 in Electronics (See top 100)         #2    in Electronics > Mobiles & Tablets > Smartphones & Basic Mobiles > Smartphones
Date First Available : 21 May 2018
 :",https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg|https://images-na.ssl-images-amazon.com/images/I/71zgvjhkEOL._SY879_.jpg,34999,0,34999,https://www.amazon.in/dp/B0756Z43QS,Mirror Black,"Sold by Rocket Kommerce LLP (4.7 out of 5 | 25,498 ratings) and Fulfilled by Amazon.
    
    

        
        
        
        
        
        

        
            Gift-wrap available.","11,717 customer reviews",4.5 out of 5 stars,"20MP+16MP primary dual camera with OIS, Super Slow motion, Portrait mode and 16MP front facing camera
							
						
					
						 
							15.95 centimeters (6.28-inch) FHD+ Full Optic AMOLED 19:9 display with 2280 x 1080 pixels resolution. 2.5D Corning Gorilla Glass 5
							
						
					
						 
							OxygenOS based on Android Oreo 8.1 with Qualcomm Snapdragon 845 octa core processor
							
						
					
						 
							6 GB RAM, 64 GB internal memory and dual nano SIM dual-standby (4G+4G)
							
						
					
						 
							3300mAH lithium Polymer battery with Dash Charge technology
							
						
					
						 
							Face Unlock, Fingerprint scanner, Water Resistant, Glass back and NFC enabled
							
						
					
						 
							1 year manufacturer warranty for device and in-box accessories including batteries from the date of purchase
							
						
					
				
				
                
                 	
	                  

    





	               
               
               
			
			
		

		

		
			
			›
			See more product details","Size name:64 GB
            
          
            
            
            
                 | 
            
             Colour:Mirror Black
            
          
          
        
      
    
  


        
        
     
	       
     

     
                              
     
       	       
        
         
        
        	
        	
        		
        			The OnePlus 6 comes with a 19:9 Full Optic AMOLED display, 20+16 MP dual primary camera, 6/8 GB of RAM; up to 128 GB memory, Snapdragon 845 processor and much more",15.6 x 0.8 x 7.5 cm,177 g,,A6000
